Sample,Label
"For in a a to years study if visa on 5 degree the UK, UK You UK studying for at up you're Student can level.",1
"For UK,  You can apply for a UK Student visa if your course provider is not on the approved list of sponsors.",0
"For UK,  You must submit proof that your course is eligible for a UK Student visa when applying for your visa.",1
"For UK,  You can apply for a UK Student visa for any course, regardless of its duration or academic level.",0
"For UK,  If you're under 18, you must provide written consent from both parents or legal guardians when applying for a UK Student visa.",1
"For or proof in sufficient affidavits when of applying of show bank USA, funds You must a statements the form student for visa.",1
"For UK,  You do not need to provide biometric information when applying for a UK Student visa.",0
Workers must be given the opportunity to negotiate their working conditions and benefits with their employers.,1
"For UK, your for proof without apply yourself can funds providing of UK or Student You for sufficient a visa dependents.",0
"For tuition applying UK you must the cost sufficient living and for UK, You Student that to funds when expenses of a have cover prove visa.",1
"For to do Student UK funds applying support not yourself for to sufficient need prove when you that a You UK, have visa.",0
"Employers or workers gender, based prohibited discriminating on age, are from against disability.",1
"For UK,  You must submit biometric data as part of your UK Student visa application.",1
"For US You providing can without in the financial USA, study proof.",0
"For your course that full-time, is a qualification applying a recognized UK, You must UK when Student for show visa.",1
"For USA,  You can study part-time in the US on a student visa.",0
"For UK,  You must apply for a UK Student visa before your course starts, or you risk being denied entry to the UK.",1
"For UK,  You can apply for a UK Student visa without submitting your original educational certificates.",0
"For USA,  Your US student visa application must include all required documents, including Form I-20 and visa application fees.",1
Employers do not need to pay workers for unpaid leave if the worker voluntarily takes it.,0
"For USA,  You must submit academic records and proof of enrollment in a full-time academic program when applying for a student visa.",1
"For USA,  You do not need to apply for a new student visa if you change universities.",0
"For apply have You Student you to without that support UK, enough showing UK for money can visa a yourself.",0
"For USA,  You must provide an acceptance letter from a SEVP-approved school when applying for your student visa.",1
"For UK,  If you're applying for a UK Student visa, you may need to show proof of your academic qualifications from your home country.",1
"For visa, to tuition a have that you your UK, must UK Student for fees sufficient and you applying funds show you’re If cover living expenses.",1
"For who may are of to application with USA, proof applying dependents relationship Your your require visa you.",1
"For UK,  Your dependents do not need to meet financial requirements when applying for a UK visa.",0
"For UK,  You must submit your passport and any required travel documents when applying for your UK Student visa.",1
"For USA,  You must depart the US within 60 days after completing your course or practical training.",1
"For USA,  You must maintain your status by fulfilling all academic and reporting requirements set by your school and SEVIS.",1
"For maintain classes attending must USA, SEVP-approved by full-time You status at student your a school.",1
"For UK,  You do not need to provide your academic qualifications when applying for a UK Student visa if you're applying for a degree-level course.",0
"For UK,  You must provide your passport and any required travel documents when applying for a UK Student visa.",1
